'96', '2019-03-05 00:00:00', '08:11:00', '00:45:00', '0'
'97', '2019-03-06 00:00:00', '08:08:00', '00:45:00', '0'
'98', '2019-03-07 00:00:00', '08:21:00', '00:45:00', '0'
'99', '2019-03-08 00:00:00', '05:03:00', '00:00:00', '0'
'100', '2019-03-11 00:00:00', '08:01:00', '00:45:00', '0'
'101', '2019-03-12 00:00:00', '07:12:00', '00:45:00', '0'
'102', '2019-03-13 00:00:00', '07:49:00', '00:45:00', '0'
'103', '2019-03-14 00:00:00', '07:07:00', '00:45:00', '0'
'104', '2019-03-15 00:00:00', '04:28:00', '00:45:00', '0'
'105', '2019-03-17 00:00:00', '00:00:00', '00:00:00', '0'
'106', '2019-03-18 00:00:00', '06:59:00', '00:45:00', '0'
'107', '2019-03-19 00:00:00', '06:04:00', '00:45:00', '0'
'108', '2019-03-20 00:00:00', '07:41:00', '00:45:00', '0'
'109', '2019-03-21 00:00:00', '07:05:00', '00:45:00', '0'
'110', '2019-03-22 00:00:00', '05:56:00', '00:45:00', '0'
'111', '2019-01-07 00:00:00', '05:16:00', '00:15:00', '0'
'112', '2019-01-01 00:00:00', '00:00:00', '00:00:00', '2'
'113', '2019-01-02 00:00:00', '00:00:00', '00:00:00', '2'
'114', '2019-01-03 00:00:00', '00:00:00', '00:00:00', '2'
'115', '2019-01-04 00:00:00', '00:00:00', '00:00:00', '2'
'116', '2019-01-08 00:00:00', '07:12:00', '00:45:00', '0'
'117', '2019-01-09 00:00:00', '07:18:00', '00:45:00', '0'
'118', '2019-01-10 00:00:00', '07:17:00', '00:45:00', '0'
'119', '2019-01-11 00:00:00', '05:06:00', '00:45:00', '0'
'120', '2019-01-14 00:00:00', '07:08:00', '00:45:00', '0'
'121', '2019-01-15 00:00:00', '06:27:00', '00:45:00', '0'
'122', '2019-01-16 00:00:00', '04:19:00', '00:45:00', '0'
'123', '2019-01-17 00:00:00', '06:46:00', '00:45:00', '0'
'124', '2019-01-18 00:00:00', '04:59:00', '00:45:00', '0'
'125', '2019-01-21 00:00:00', '07:39:00', '00:45:00', '0'
'126', '2019-01-22 00:00:00', '06:56:00', '00:45:00', '0'
'127', '2019-01-23 00:00:00', '06:41:00', '00:45:00', '0'
'128', '2019-01-24 00:00:00', '07:31:00', '00:45:00', '0'
'129', '2019-01-25 00:00:00', '04:43:00', '00:45:00', '0'
'130', '2019-01-28 00:00:00', '07:20:00', '00:45:00', '0'
'131', '2019-01-29 00:00:00', '07:20:00', '00:45:00', '0'
'132', '2019-01-30 00:00:00', '06:57:00', '00:45:00', '0'
'133', '2019-01-31 00:00:00', '07:17:00', '00:45:00', '0'
'134', '2018-12-03 00:00:00', '06:39:00', '00:45:00', '0'
'135', '2018-12-04 00:00:00', '07:13:00', '00:45:00', '0'
'136', '2018-12-05 00:00:00', '09:30:00', '00:00:00', '0'
'137', '2018-12-06 00:00:00', '07:41:00', '00:45:00', '0'
'138', '2018-12-07 00:00:00', '03:13:00', '00:45:00', '0'
'139', '2018-12-10 00:00:00', '07:20:00', '00:45:00', '0'
'140', '2018-12-11 00:00:00', '06:42:00', '00:45:00', '0'
'141', '2018-12-12 00:00:00', '07:11:00', '00:45:00', '0'
'142', '2018-12-13 00:00:00', '07:17:00', '00:45:00', '0'
'143', '2018-12-14 00:00:00', '04:49:00', '00:00:00', '0'
'144', '2018-12-17 00:00:00', '06:57:00', '00:45:00', '0'
'145', '2018-12-24 00:00:00', '00:00:00', '00:00:00', '2'
'146', '2019-12-25 00:00:00', '00:00:00', '00:00:00', '2'
'147', '2018-12-25 00:00:00', '00:00:00', '00:00:00', '2'
'148', '2018-12-26 00:00:00', '00:00:00', '00:00:00', '2'
'149', '2018-12-27 00:00:00', '00:00:00', '00:00:00', '2'
'150', '2018-12-28 00:00:00', '00:00:00', '00:00:00', '2'
'151', '2018-12-31 00:00:00', '00:00:00', '00:00:00', '2'
'152', '2018-12-18 00:00:00', '06:54:00', '00:45:00', '0'
'153', '2018-12-19 00:00:00', '06:52:00', '00:45:00', '0'
'154', '2018-12-20 00:00:00', '06:02:00', '00:45:00', '0'
'155', '2018-12-21 00:00:00', '05:41:00', '00:00:00', '0'
'156', '2018-11-01 00:00:00', '00:00:00', '00:00:00', '2'
'157', '2018-11-02 00:00:00', '00:00:00', '00:00:00', '2'
'158', '2018-11-05 00:00:00', '06:57:00', '00:45:00', '0'
'159', '2018-11-06 00:00:00', '07:09:00', '00:45:00', '0'
'160', '2018-11-07 00:00:00', '07:19:00', '00:45:00', '0'
'161', '2018-11-08 00:00:00', '07:08:00', '00:45:00', '0'
'162', '2018-11-09 00:00:00', '04:28:00', '00:15:00', '0'
'163', '2018-11-12 00:00:00', '07:33:00', '00:45:00', '0'
'164', '2018-11-13 00:00:00', '07:46:00', '00:45:00', '0'
'165', '2018-11-15 00:00:00', '07:34:00', '00:45:00', '0'
'166', '2018-11-14 00:00:00', '07:35:00', '00:45:00', '0'
'167', '2018-11-16 00:00:00', '06:01:00', '00:45:00', '0'
'168', '2018-11-19 00:00:00', '08:01:00', '00:45:00', '0'
'169', '2018-11-20 00:00:00', '06:50:00', '00:45:00', '0'
'170', '2018-11-21 00:00:00', '10:00:00', '00:00:00', '0'
'171', '2018-11-22 00:00:00', '06:52:00', '00:45:00', '0'
'172', '2018-11-23 00:00:00', '04:00:00', '00:45:00', '0'
'173', '2018-11-26 00:00:00', '06:45:00', '00:45:00', '0'
'174', '2018-11-27 00:00:00', '07:19:00', '00:45:00', '0'
'176', '2018-11-28 00:00:00', '10:20:00', '00:00:00', '0'
'177', '2018-11-29 00:00:00', '08:03:00', '00:45:00', '0'
'178', '2018-11-30 00:00:00', '05:37:00', '00:45:00', '0'
'179', '2018-10-01 00:00:00', '07:15:00', '00:45:00', '0'
'180', '2018-10-02 00:00:00', '07:14:00', '00:45:00', '0'
'181', '2018-10-03 00:00:00', '06:07:00', '00:45:00', '0'
'182', '2018-10-04 00:00:00', '07:29:00', '00:45:00', '0'
'183', '2018-10-05 00:00:00', '05:40:00', '00:00:00', '0'
'184', '2018-10-08 00:00:00', '07:26:00', '00:45:00', '0'
'185', '2018-10-09 00:00:00', '07:37:00', '00:45:00', '0'
'186', '2018-10-10 00:00:00', '07:06:00', '00:45:00', '0'
'187', '2018-10-11 00:00:00', '06:55:00', '00:45:00', '0'
'188', '2018-10-12 00:00:00', '06:28:00', '00:00:00', '0'
'189', '2018-10-15 00:00:00', '06:25:00', '00:45:00', '0'
'190', '2018-10-16 00:00:00', '07:39:00', '00:45:00', '0'
'191', '2018-10-17 00:00:00', '23:00:00', '11:19:00', '0'
'192', '2018-10-18 00:00:00', '03:08:00', '00:15:00', '0'
'193', '2018-10-19 00:00:00', '04:28:00', '00:15:00', '0'
'194', '2018-10-22 00:00:00', '00:00:00', '00:00:00', '2'
'195', '2018-10-23 00:00:00', '00:00:00', '00:00:00', '2'
'196', '2018-10-24 00:00:00', '00:00:00', '00:00:00', '2'
'197', '2018-10-25 00:00:00', '00:00:00', '00:00:00', '2'
'198', '2018-10-26 00:00:00', '00:00:00', '00:00:00', '2'
'199', '2018-10-29 00:00:00', '07:05:00', '00:45:00', '0'
'200', '2018-10-30 00:00:00', '07:19:00', '00:45:00', '0'
'201', '2018-10-31 00:00:00', '06:04:00', '00:45:00', '0'
'202', '2019-10-22 00:00:00', '04:39:00', '00:30:00', '0'
'203', '2018-06-01 00:00:00', '04:35:00', '00:15:00', '0'
'204', '2018-06-04 00:00:00', '07:03:00', '00:45:00', '0'
'205', '2018-06-05 00:00:00', '06:26:00', '00:45:00', '0'
'206', '2018-06-06 00:00:00', '07:03:00', '00:45:00', '0'
'207', '2018-06-13 00:00:00', '07:10:00', '00:45:00', '0'
'208', '2018-06-14 00:00:00', '07:42:00', '00:15:00', '0'
'209', '2018-06-15 00:00:00', '04:32:00', '00:45:00', '0'
'210', '2018-06-18 00:00:00', '07:20:00', '00:45:00', '0'
'211', '2018-06-19 00:00:00', '07:56:00', '00:45:00', '0'
'212', '2018-06-20 00:00:00', '07:22:00', '00:45:00', '0'
'213', '2018-06-21 00:00:00', '08:46:00', '00:45:00', '0'
'214', '2018-06-22 00:00:00', '04:23:00', '00:45:00', '0'
'215', '2018-06-26 00:00:00', '08:06:00', '00:45:00', '0'
'216', '2018-06-27 00:00:00', '08:23:00', '00:45:00', '0'
'217', '2018-06-28 00:00:00', '07:26:00', '00:45:00', '0'
'218', '2018-06-25 00:00:00', '07:53:00', '00:45:00', '0'
'219', '2018-06-29 00:00:00', '06:32:00', '00:45:00', '0'
'220', '2018-05-01 00:00:00', '00:00:00', '00:00:00', '2'
